Carmaker,Innovation index for communications system,Innovation index for driver assistance
VW/Audi,29.1,69.7
Mercedes,28.1,65.4
BMW,31.6,38
Toyota,19.8,31
GM,20.1,27.1
Ford,23.9,26.2
Hyundai,13.3,21.9
